question,source,id,author,answer
Claiming income/deductions on an illegal apartment,finance,20929,human_answers,"A basement unit would typically rent for less than similar space on a higher floor.  Taxwise, you should be claiming the income, and expenses via schedule E, as if it were legal. Keep in mind, Al Capone was convicted on tax evasion  not his other illegal activities. As long as you treat it as a legitimate business, a rental unit, you will be good with the IRS. The local building department will fine you if they find out."
"If I invest in a company that goes bankrupt, is that a gain or a loss?",finance,21365,human_answers,"I'll give the credit to @Quid in the comments section of the question.  You put out $10k, you got back $20k, that's a cash gain of $10k, how the asset was valued between your purchase and sale isn't relevant. From an accounting perspective, the company is the only party that is realizing the loss (as they have sold the asset for 40K less than par). You the buyer, only get to see the initial buy and sale of such capital asset.  Example: A company purchases a car for $20,000 and after depreciation it is worth (book valued at) $2,000. It is then sold to a customer for $3,000.  Does the customer realize a loss of $1,000? No.  Does the company realize a gain of $1,000? Yes.  Your bank analogy is flawed in two ways:"
"Need treatment for pain between the scrotum and anus after masturbationi m 22 years old after i masturbation i have a pain between my scortums and anus it feel like sweling, for 2 to 3 hours pain remain my scortums became red when it pains i also consult doctors but nothing happen. plz consult me which doctor should i prefer?",medicine,23088,human_answers,"DearWe understand your concernsI went through your details. You had already consulted doctors and they prescribed medicines to you and said there is nothing to worry. In that case, you should accept their opinion and stop worrying. You may consult an urologist if you again want to do so. But, I suggest, make it the last time. Worry, anxiety and obsession is another key basic reason for pains which may not have any medical explanation. The best method is to ignore the pain. You also mention that the pain is after masturbation. Stop masturbating for 15 days and restart. You will get relief. If you require more of my help in this aspect, please use this URL. http://goo.gl/aYW2pR. Make sure that you include every minute details possible. Hope this answers your query. Available for further clarifications.Good luck. Take care."
Is there a legal deadline for when your bank/brokerage has to send your tax forms to you?,finance,19912,chatgpt_answers,"Yes, there are legal deadlines for when banks and brokerages must send tax forms to their customers. The specific deadline depends on the type of tax form being sent and the method by which it is being sent.For example, the deadline for banks and brokerages to send out Form 1099-INT, which reports interest income, is generally January 31st. If the form is being mailed, it must be postmarked by this date. If the form is being sent electronically, it must be made available to the recipient by this date.There are different deadlines for other types of tax forms, such as Form 1099-B, which reports proceeds from brokerage transactions, and Form 1099-DIV, which reports dividend income. It's important to check with your bank or brokerage to find out the specific deadline for receiving your tax forms."
"Please explain what is ""Cortana (software)""",wiki_csai,18648,human_answers,"Cortana is a virtual assistant developed by Microsoft that uses the Bing search engine to perform tasks such as setting reminders and answering questions for the user.
Cortana is currently available in English, Portuguese, French, German, Italian, Spanish, Chinese, and Japanese language editions, depending on the software platform and region in which it is used.
Microsoft began reducing the prevalence of Cortana and converting it from an assistant into different software integrations in 2019. It was split from the Windows 10 search bar in April 2019.[10] In January 2020, the Cortana mobile app was removed from certain markets,[11][12] and on March 31, 2021, the Cortana mobile app was shut down globally.[13]"
What can cause lack of high voice in boys?Dr. I am a boy all boys have a boys voice means heavy voice but whenarifhussnain I talk to others they said I am girl becaze I have not a heavy voice they say u saying like a girl I feel so embrancement please help me tel me a medicine which makes my voice heavy or no one say me that I am a girl,medicine,23305,chatgpt_answers,"It is completely normal for some boys to have higher-pitched voices than others. There is no medicine or treatment that can change the natural pitch of a person's voice, and it is not necessary or desirable for a person to try to change their natural voice in order to conform to societal expectations. It is important to remember that everyone is unique and there is no ""right"" or ""wrong"" way for a person's voice to sound.

If you are concerned about your voice, it may be helpful to speak with a speech therapist or a healthcare provider. They can assess your voice and provide you with information and techniques to help you communicate effectively. It is also important to remember that people's perceptions and opinions about your voice do not define your worth as a person."
Personal Tax Return software for Linux?,finance,21951,human_answers,"I used H&R Block this year 2013 to do my 2012 taxes and it was a snap!  Ubuntu 12.10 with Firefox 20 and everything worked great!  Although it is not listed as one of the ""supported"" platforms, Firefox breezed through the application without any problems.  I used the deluxe version of H&R to calculate my mortgage and home business deductions, but I would guess any of the H&R versions work."
Is waldemstrom s macroglobulemia the reason for severe body pain?I have waldenstrom s macroglobulemia and am experiencing days of body aches all over. Also weakness and fatigue. My oncologist doesn t seem too concerned with this s my him numbers are not too high yet. I have Ben having the pain quite a bit in the last week,medicine,24051,human_answers,"Hello and Welcome to ‘Ask A Doctor’ service.I have reviewed your query and here is my advice.An overall inflammation can be painful. Aspirin-like drugs can be helpful for it. If it is all over, then it is not likely to be the invasion of a particular area by a tumor.There can be overall derangements like elevated calcium in this condition, and that would be painful, but there would generally be other symptoms like urinating a lot.Hope I have answered your query. Let me know if I can assist you further."
"Should i be worried of numbness in toe for days?My fourth toe on my right foot has been numb for 3 days. I have not been wearing different shoes or running long distances. Should I be concerned? What are some possible causes? It is only one toe, I do not have any symptoms, markers or history of diabetes.",medicine,23138,human_answers,HiWelcome to healthcaremagicI have gone through your query and understand your concern.Some swelling in the area is important cause of numbness. Elevation of limb is helpful. Mecobalamin is helpful in recovery. You can discuss with your doctor about it. Hope your query get answered. If you have any clarification then don't hesitate to write to us. I will be happy to help you.Wishing you a good health.Take care.
Will a small investment in a company net a worthwhile gain?,finance,20262,chatgpt_answers,"It is impossible for me to predict whether a small investment in a particular company will net a worthwhile gain. The performance of a company's stock can be affected by a wide variety of factors, including the company's financial performance, industry conditions, economic conditions, and market trends. Some investments may generate significant returns, while others may not. It is important to carefully consider your investment goals and risk tolerance before making any investment decisions, and to do your own research on the company and its prospects. You may also want to consult with a financial advisor or professional for personalized investment advice."
Where to find free Thailand stock recommendations and research?,finance,21832,chatgpt_answers,"There are several places you can find free recommendations and research on Thailand stocks:Financial news websites: Many financial news websites, such as Bloomberg, Reuters, and Yahoo Finance, offer free stock recommendations and analysis on Thailand stocks.Social media: Follow financial analysts, investors, and traders on social media platforms, such as Twitter, to get their thoughts and insights on Thailand stocks.Online investment forums: Join online investment forums, such as StockTwits, and participate in discussions about Thailand stocks to get a variety of perspectives from other investors.Research reports: Some brokerage firms, such as Goldman Sachs, Morgan Stanley, and JPMorgan, publish research reports on Thailand stocks that are available for free on their websites.It's important to note that while these resources can be a helpful starting point, it's always a good idea to do your own independent research and due diligence before making any investment decisions."
"Please explain what is ""Tom M. Mitchell""",wiki_csai,18703,chatgpt_answers,"Tom M. Mitchell is a computer scientist and professor at Carnegie Mellon University, where he holds the Fredkin Professorship in the School of Computer Science. He is known for his research in machine learning and artificial intelligence, particularly in the areas of inductive learning and artificial neural networks. Dr. Mitchell has published extensively on these topics, and his work has been widely cited in the field. He is also the author of the textbook ""Machine Learning,"" which is widely used as a reference in courses on machine learning and artificial intelligence."
Suggest treatment for fever despite taking P-250 syrupMy kid is 4.9 years old and she got high fever since yesterday evening. Given P-250 2 dosages of 5 ml but the fever returns in 5 hour. So i had given 5 ml of Mefanorm? I could see the fever is getting reduced slowly now. What would be the next course of action if the fever returns in less than 6 hours again?,medicine,23758,chatgpt_answers,"It's important to get a proper diagnosis from a healthcare professional before starting any treatment for fever, as there can be many different causes of fever. The treatment will depend on the underlying cause of the fever and the severity of the fever.

If your child has a fever despite taking P-250 syrup, you should contact your healthcare provider for further guidance. They will be able to assess your child's condition and determine the best course of treatment.

In the meantime, it's important to continue giving your child the medications prescribed by your healthcare provider, as directed. It's also important to monitor your child's temperature and other symptoms closely, and to keep them well hydrated by giving them plenty of fluids. If your child's fever persists or becomes more severe, or if they develop any other concerning symptoms, you should contact your healthcare provider right away."
What causes a hematoma in the thigh after a muscle pull?six months ago I pulled a mussel from my knee to my hip on the outer side of my right thigh. 3 days latter I had a lg. hematoma on the inner side of that thigh. had x-rays and 2 MRI done and cant find a reason for it. last week that same thigh got very hard and painful in one weeks time and I have another hematoma. WHAT IS CAUSING THIS ???????,medicine,23733,chatgpt_answers,"It's possible that the hematoma (a collection of blood outside of blood vessels) in your thigh was caused by damage to the blood vessels in the area as a result of the muscle pull. Hematomas can also be caused by other factors, such as trauma, bleeding disorders, or certain medications that affect blood clotting.

It's important to note that hematomas can sometimes be a sign of a more serious underlying condition, so it's important to consult with a healthcare provider if you experience any unusual or persistent bleeding or bruising. They will be able to assess your symptoms and advise you on the best course of action."
What funds were closed during or after the recent recessions?,finance,19442,chatgpt_answers,"It is difficult to determine which specific funds were closed during or after the recent recessions without more information. In general, however, funds may be closed due to a variety of reasons, including a lack of investor interest, poor performance, regulatory issues, or other factors. During times of economic downturn, some funds may face increased pressure and may be more likely to close. It is important to carefully research any investment before making a decision and to consider the potential risks as well as the potential rewards. It is also a good idea to diversify your investments to spread risk and potentially reduce the impact of any individual investment that may underperform or be closed."
"In a buy order with a trigger, will I pay the current ask or the buy price in the order?",finance,21430,chatgpt_answers,"In a buy order with a trigger, you will pay the current ask price when the order is filled. The trigger price is simply the price at which the order will be activated and placed on the order book, if it has not already been filled. The actual price at which the order is filled will be determined by the supply and demand for the asset at the time the order is placed on the order book."
Does a glassy stare indicate brain damage?My father aspirated. Then needed a ventilator. He seemed to be heavily sedated. Nurse said it was light sedation. He didnt react to much when tube was put down his throat into his lung. A few times he opened his eyes and had a wide eyed glassy stare with no blinking. Did he have brain damage that caused these symptoms?,medicine,24026,chatgpt_answers,"It is possible that a person who has aspirated and required mechanical ventilation may experience a range of symptoms, including a glassy stare, due to the effects of the aspiration and the sedatives and other medications used during mechanical ventilation. However, it is important to note that a glassy stare alone is not necessarily indicative of brain damage.

There are many potential causes of a glassy stare, including head injury, stroke, brain tumors, and certain medications or substances. In order to determine the cause of a glassy stare, it is important for a healthcare provider to perform a thorough evaluation and consider the person's medical history and other symptoms.

If you are concerned about your father's symptoms and whether he may have experienced brain damage, it is important to speak with his healthcare provider for further information and guidance."
"Could numbness in arm and palpitations be due to dehydration?Within minutes of lying on my right side,my arm goes painful/numb. Also I seem  to have palpitations when lying on my right side as well, when trying to go to sleep. this  Morning I woke up and my right arm hurt/was numb. I have tried stretching but it lasts for awhile.Can dehydration be a cause?",medicine,23971,human_answers,"YES dehydration can be one of the factors inducing the pain and numbness of specific parts of your body but in your case i would like to ask you to consider your posture while sleeping and have your xray cervical spine done to look for cervical rib or cervical spondylosis if pain and numbness persists, moreover keep on taking a well balanced diet too."
Where does the money go when I buy stocks?,finance,22001,human_answers,"The money goes to the seller.  There are a lot of behind the scenes things that happen, and some transactions are very complicated with many parties involved (evidenced by all the comments on @keshlam's perfectly reasonable high-level answer), but ultimately the money goes to the seller.  Sometimes the seller is the company.  The billions of shares that change hands each day are moving between other individuals like you and investment funds; these transactions have no direct impact on the company's financials, in general."
"Can I take Myprodol with tramadol for chronic back pain?Hi I am a 58 year old male 1,72 meter tall 85 kg with cronic back pain for about 15 years Used Synap Forte tablets 2 and 2 tramadol 50 kg tablets in 24 hours They discontinued it in my country Please want to know if I can use Myprodol together with the Tramadol Had back operation 10 years age",medicine,24203,chatgpt_answers,"It is not recommended to take Myprodol and tramadol together without consulting a healthcare provider. Both Myprodol and tramadol are prescription medications that are used to manage pain, and they work in different ways. Myprodol is a combination of acetaminophen, caffeine, and an anti-inflammatory medication called propoxyphene, while tramadol is a opioid pain medication.

Taking these medications together can increase the risk of side effects, such as drowsiness, dizziness, and difficulty breathing. It is important to follow the dosing instructions provided by your healthcare provider and to not take more of either medication than directed.

It is also important to talk to your healthcare provider about your chronic back pain and any other health conditions you may have. Your provider can help you determine the most appropriate treatment plan for your specific needs, which may include a combination of medications, physical therapy, and other pain management techniques."
Experiencing mild pain on the right kidneyYes.  I woke up tuesday morning with a mild pain at the right kidney.  I did increase my protein due to my athletic training before hand.  I have since decreased the protein and kidney is better but urinating a bit more freequently.  Salty flavor in mouth and lips and wanted to get an opinion,medicine,23275,chatgpt_answers,"Mild pain in the right kidney area can be caused by a variety of things. It's possible that your increased protein intake may have contributed to the pain, as excessive protein intake can put strain on the kidneys. However, other possible causes of kidney pain include urinary tract infections, kidney stones, and kidney inflammation (nephritis).

It's important to note that only a healthcare professional can properly diagnose the cause of your kidney pain and recommend the appropriate treatment. I recommend that you see a doctor to determine the cause of your kidney pain and to discuss any necessary treatment.

In the meantime, you can try drinking plenty of fluids and staying well hydrated to help flush any potential infections or stones out of your kidneys. It's also a good idea to avoid salty foods, as they can increase your body's need for hydration."
Does the IRS reprieve those who have to commute for work?,finance,19272,chatgpt_answers,"The IRS does not provide a specific tax break or deduction for individuals who have to commute for work. However, there are certain tax breaks and deductions that may be available to individuals who incur expenses related to their job, including travel expenses.For example, if you are required to travel away from your tax home for work, you may be able to claim a tax deduction for certain expenses, such as the cost of transportation, meals, and lodging. To claim these deductions, you must have incurred the expenses while performing your job duties and the expenses must not have been reimbursed by your employer.It's also important to note that tax laws and eligibility for deductions can change from year to year, so it's always a good idea to review the current tax laws and consult with a tax professional if you have questions about your specific situation."
Are founders of a company paid dividends?,finance,22295,chatgpt_answers,"Founders of a company can be paid dividends if they own shares in the company that pay dividends. A dividend is a distribution of a portion of a company's profits to its shareholders. Whether or not a company pays dividends and how much it pays is typically decided by the company's board of directors. If the company has issued shares of stock, dividends will generally be paid to the shareholders of those shares. If the founders of the company own shares, they may be entitled to receive dividends on those shares. However, it is also possible for founders to be paid a salary or other forms of compensation for their work, regardless of whether the company is paying dividends."
Is keeping track of your money and having a budget the same thing?,finance,21041,chatgpt_answers,"Keeping track of your money and having a budget are related, but they are not the same thing.Keeping track of your money involves simply knowing how much money you have and where it is coming from and going to. This can be done through a variety of methods, such as manually tracking your expenses in a notebook, using a spreadsheet, or using a personal finance app or software.A budget, on the other hand, is a plan that you create to allocate your money towards your expenses and financial goals. A budget helps you to make informed decisions about how to spend your money and ensure that you have enough money to meet your needs and achieve your financial goals.In other words, keeping track of your money is a necessary first step in creating a budget, but it is not the same as having a budget."
"Please explain what is ""Ehud Shapiro""",wiki_csai,18765,chatgpt_answers,"Ehud Shapiro is a computer scientist and professor at the Weizmann Institute of Science in Rehovot, Israel. He is known for his research in the fields of theoretical computer science and artificial intelligence. He has made contributions to the areas of logic, verification, and automated reasoning. Shapiro has also been involved in the development of practical systems for automated reasoning, such as the automatic theorem prover EQP. He is a member of the Israeli Academy of Sciences and Humanities and has received several awards for his work, including the ACM SIGPLAN Robin Milner Young Researcher Award and the Israel Prize in Computer Science."
Why would analysts recommend buying companies with negative net income?,finance,21285,chatgpt_answers,"It is possible for a company to have negative net income, also known as a net loss, for a variety of reasons. Some companies may be in the process of investing heavily in research and development, expanding into new markets, or undergoing a major restructuring, which can all be costly in the short term but may lead to future profitability. In these cases, analysts may still recommend buying the stock because they believe that the company's long-term prospects are good and that the negative net income is just a temporary setback.However, it's important to note that a company with consistently negative net income may not be a good investment, as it suggests that the company is not generating enough revenue to cover its expenses. It's always a good idea to carefully research and evaluate a company before making any investment decisions."
"Please explain what is ""Harvard Business School""",wiki_csai,19060,human_answers,"Harvard Business School (HBS) is the graduate business school of Harvard University, a private research university in Boston, Massachusetts. It is consistently ranked among the top business schools in the world and offers a large full-time MBA program, management-related doctoral programs, and many executive education programs. It owns Harvard Business Publishing, which publishes business books, leadership articles, case studies, and the monthly Harvard Business Review. It is also home to the Baker Library/Bloomberg Center."
Can Propygenta with Micogel help during fungal infection ?Hi i have got a fungal infection as well as allergic swell. how well propygenta can be helpful if i use it with micogel,medicine,23495,chatgpt_answers,It is not appropriate for me to recommend or advise on the use of specific medications or treatments as I am a language model and do not have access to your medical history or current condition. I recommend that you consult with a healthcare professional for personalized medical advice. They will be able to assess your individual situation and determine the most appropriate course of treatment for you. It is important to follow the recommended treatment plan as prescribed by your healthcare provider in order to effectively treat your infection and manage your symptoms.
Is it unreasonable to double your investment year over year?,finance,19894,chatgpt_answers,"It is not unreasonable to aim for a high rate of return on your investments, but it is important to keep in mind that investing carries risk and there is no guarantee that any particular investment will perform well. It is possible to achieve high returns in some years and negative returns in others. Additionally, it is important to consider your investment time horizon and risk tolerance when setting your investment goals. A longer time horizon and a higher risk tolerance may allow for a higher potential for returns, but also a higher potential for volatility. It is important to diversify your investments and to have a well-thought-out investment strategy that aligns with your goals and risk tolerance. It is also a good idea to seek the advice of a financial professional if you have questions about your investment strategy."
Do I have to pay a capital gains tax if I rebuy different stocks?,finance,21290,human_answers,"Yes (most likely). If you are exchanging investments for cash, you will have to pay tax on that - disregarding capital losses, capital loss carryovers, AGI thresholds, and other special rules (which there is no indication of in your question). You will have to calculate the gain on Schedule D, and report that as income on your 1040. This is the case whether you buy different or same stocks."
Is fall from bike causing chills and convulsions in night?Hi. My husband was riding his motorcycle over a week ago...he hit a sand pile a flew off his bike..wasn't going too fast but he had bruising and pain. A week later which was 3 nights ago he started chills and convulsions. Uncontrolable.he has them in the middle of the night. Any advise? He said his neck hurts really bad.,medicine,23259,chatgpt_answers,"It is possible that your husband's symptoms could be related to the fall from his motorcycle. It is important for him to see a medical professional as soon as possible to determine the cause of his symptoms and receive proper treatment. Some potential causes of chills and convulsions following a fall could include a concussion, neck injury, or other head injury. It is also possible that he could have developed an infection or other medical condition as a result of the fall. A medical professional will be able to perform a thorough examination and order any necessary tests to determine the cause of his symptoms and provide the appropriate treatment. In the meantime, it is important for him to rest and avoid physical activity until he has been evaluated by a medical professional."
"Since many brokers disallow investors from shorting sub-$5 stocks, why don't all companies split their stock until it is sub-$5",finance,19652,human_answers,"A stock split can force short sellers of penny stocks to cover their shorts and cauuse the price to appreciate.  Example:  Someone shorts a worthless pump and dump stock, 10,000 shares at .50.  They have to put up $25,000.00 in margin ($2.50 per share for stocks under $2.50).  The company announces a 3 to 1 split.  Now the short investor must come up with $50,000.00 additional margin or be be ""bought in"". The short squeeze is on."
Figuring out if I receive US income?,finance,19378,human_answers,"I believe the answer is no, since your income from royalties and app sales would fall under FDAP income. (another conformation of this would be the fact that Apple and Google requested a W8-BEN form from you and not a W8-ECI form) Generally, All income EXCEPT FDAP income (fixed or determinable annual or periodical income) are ECI income.  FDAP income includes income from interest, rent, dividends etc. IRS link to a list of all Income classified under FDAP below:- https://www.irs.gov/individuals/international-taxpayers/fixed-determinable-annual-periodical-fdap-income https://www.irs.gov/pub/irs-pdf/iw8eci.pdf (page 3 - under effectively connected income)"
What does a contract's worth mean?,finance,19873,chatgpt_answers,"The worth of a contract is typically determined by the value of the goods, services, or other considerations being exchanged under the terms of the contract. The worth of a contract can also be influenced by other factors, such as the reputation and financial stability of the parties involved, the risks and costs associated with fulfilling the contract, and the potential for profit or loss. In general, the worth of a contract reflects the perceived value of the obligations and rights that it creates for the parties involved."
"Are personal finance / money management classes taught in high school, anywhere?",finance,22364,human_answers,"We had a ""civics"" class when I was a freshman in high school. This was in the Ann Arbor, MI public schools. It covered the very basics (how to balance your checkbook, what are stocks, how do income taxes work, what is interest, etc.) of money management along with an overview of politics and the legal system. It was a really light class, though, and didn't go deeply into personal finance and money management. I agree that such a class would be very valuable, as would cooking, nutrition, and basic home and car repair."
"Please explain what is ""Cortana (software)""",wiki_csai,18648,chatgpt_answers,"Cortana is a virtual assistant developed by Microsoft for its Windows operating system. It was first introduced in 2014 as a feature of the Windows Phone 8.1 operating system, and later became available for Windows 10 and other platforms.



Cortana is designed to assist users with a variety of tasks, such as setting reminders, answering questions, providing recommendations, and performing web searches. It can also be used to control other devices and apps, such as playing music or setting the thermostat. To use Cortana, users can either type or speak their requests to the assistant, which responds with relevant information or performs the requested action. Cortana uses artificial intelligence and machine learning to understand and interpret user requests, and can adapt to a user's preferences and habits over time."
Transfering money from NRE to saving account is taxable or not,finance,22376,chatgpt_answers,"Transferring money from an NRE (Non-Residential External) account to a savings account is generally not taxable in India. NRE accounts are intended for non-resident Indians (NRIs) to hold their foreign income earned outside of India, and the money held in these accounts is usually tax-free in India. However, you should check with a tax professional or the Indian tax authorities to confirm this, as the tax treatment of NRE accounts and the income they generate may depend on various factors such as your specific tax situation, the type of income being transferred, and the terms of the NRE account."
"What is the cause of dark circles around the eyes and red pimples on the face?My 1 yr old girl has very dark circles around her eyes and red pimples around her eyes,mouth and on her cheeks. The pimples don t have a head and seem to disappear after a day and reappear somewhere else. She sleeps for approx 12/13 hrs a night and has 2 x2hr naps in the day. Should I take her to see a doctor?",medicine,23585,human_answers,"Hi...Skin conditions are best diagnosed only after seeing directly. I suggest you to upload photographs of the same on this website, so that I can guide you scientifically.  Hope my answer was helpful for you.  I am happy to help any time. Further clarifications and consultations on Health care magic are welcome. If you do not have any clarifications, you can close the discussion and rate the answer. Wish your kid good health.Dr. Sumanth MBBS., DCH., DNB (Paed).,"
"Please explain what is ""Golden spike""",wiki_csai,18987,chatgpt_answers,"The ""Golden Spike"" is a historic event that took place on May 10, 1869, when the Union Pacific Railroad and the Central Pacific Railroad met at Promontory Summit, Utah, and completed the first transcontinental railroad in the United States. The name ""Golden Spike"" refers to the ceremonial last spike that was driven into the ground to mark the completion of the railroad. This event was a significant milestone in American history, as it greatly reduced travel time and costs between the East and West coasts of the United States, and played a major role in the expansion and development of the American West. The Golden Spike is now on display at the Golden Spike National Historic Site in Utah."
"Suggest treatment for internal shaking of arm and handsSometimes it feels like the insides of my arms and hands are shaking slightly but when I look at them, they aren t moving at all. Sometimes my head has this feeling I can t describe; it s inside also. Not a headache, just feels like something moving or shrinking? I don t know...",medicine,23594,human_answers,"Hi, I think you are having muscle twitching. Should check your calcium, Vitamin D, B levels, and blood electrolytes. Monitor your blood pressure and sugar levels, record the results for reference. Meanwhile, I advise to take magnesium, zinc, calcium and D3 supplement to minimize the shaking feeling of your muscles. Hope I have answered your query. Let me know if I can assist you further. Regards,Dr. Albana Sejdini,General & Family Physician"
Who owns NASDAQ? Does it collect fees from stock transactions?,finance,19351,human_answers,"NASDAQ OMX Group owns NASDAQ, a stock exchange. It is a corporation, and is listed on the NASDAQ as NDAQ. It makes money by: source NASDAQ also charges for market data services, found in the NASDAQ ""Datastore"". Other information about the fees charged by NYSE and NASDAQ may be found in the Investopedia article The NYSE And Nasdaq: How They Work."
Noticed pink mucus during periods is it normal ?Yes I didn't have a period for 4 months and on wasn't having sex at the time I started having sex again in dec and I came on my period dec7-dec 13 then again dec23-27 and now today dec 29 when I go to wipe after voiding on the toilet paper it had lite pink mucus like on it ! Can you explain to me what may be happening should I be worried?,medicine,23687,chatgpt_answers,"It is normal to have some mucus present in your menstrual blood, and it is possible for this mucus to be tinged with pink or brown. This can be due to small amounts of blood mixing with the mucus. It is also common for the amount and consistency of vaginal discharge to change throughout the menstrual cycle.

If you are concerned about the presence of pink mucus during your period, it is important to speak with a healthcare provider. They will be able to assess your specific situation and determine whether further evaluation is necessary. In the meantime, it is generally recommended to practice good hygiene and to use pads or tampons as needed to absorb menstrual blood and discharge. If you are experiencing discomfort or have any other concerns, it is a good idea to contact a healthcare provider for further guidance."
Is there any reason to buy shares before/after a split?,finance,20851,human_answers,"There has been a lot of research on the effects of stock splits. Some studies have concluded that: However note that (i) these are averages over large samples and does not say it will work on every split and (ii) most of the research is a bit dated and more recent papers have often struggled to find any significant performance impact after 1990, possibly because the effect has been well documented and the arbitrage no longer exists. This document summarises the existing research on the subject although it seems to miss some of the more recent papers. More practically, if you pay a commission per share, you will pay more commissions after the split than before. Bottom line: don't overthink it and focus on other criteria to decide when/whether to invest."
"Can stress cause erectile issues?Recently my boyfriend and I were having sex and he suddenly got soft in the middle of it. He has been stressed out about money and not sleeping very much so I thought it was that, but I can't help thinking he isn't interested. Can stress cause erectile issues?",medicine,23748,human_answers,"Hello and welcome to ‘Ask A Doctor’ service.  I have reviewed your query and here is my advice. Sex is largely what happens between two ears and two minds and not that happens between two legs. There are many possible reasons leading to erectile dysfunction and commonest is stress or performance anxiety. An occasional episode of erectile failure due to situational reasons like fatigue, tension or own ''pressure to 'perform' rather to enjoy'' is very common. This diminishes arousal level and hence erection too. This seems more likely with your partner. Both of you can go for counseling with sex therapist if this happens repeatedly.Hope I have answered your query. Let me know if I can assist you further.Regards,Dr. Chintan Raval"
Does cash back apply to online payments with credit card,finance,20828,chatgpt_answers,"Yes, cash back can apply to online payments made with a credit card. Many credit cards offer cash back as a reward for using the card to make purchases. The cash back can be in the form of a statement credit or a deposit into a bank account, and it is usually based on a percentage of the amount spent on the card. Some credit cards offer higher cash back rates for certain types of purchases, such as groceries or gas, while others offer a flat rate on all purchases. It is important to note that cash back rewards are not always available on all purchases, and terms and conditions may apply. To find out if your credit card offers cash back and how it works, you should refer to the terms and conditions of your card or contact the issuer."
Noticed pink mucus during periods is it normal ?Yes I didn't have a period for 4 months and on wasn't having sex at the time I started having sex again in dec and I came on my period dec7-dec 13 then again dec23-27 and now today dec 29 when I go to wipe after voiding on the toilet paper it had lite pink mucus like on it ! Can you explain to me what may be happening should I be worried?,medicine,23687,human_answers,"Hi,The possible causes for the spotting are :-According to your menstrual history, there is possibility of hormonal imbalance. Hormonal imbalance can lead to intermenstrual spotting, prolonged spotting after cessation of menstrual flow etc symptoms. - Post coital tear- Local lesions like cervical erosion, polyps etc. If the spotting subsides and if you get your next cycle as expected, no need to worry. If the spotting continues or recurs in next menstrual cycles, better to get evaluated. Go for examination, ultrasound and hormonal profile including estrogen, progesterone, LH and FSH. With this workup the possible cause for your problem can be identified and treated. Take care."
Stocks given by company vest if I quit?,finance,22111,chatgpt_answers,"When you receive stock as part of your compensation from a company, the terms for vesting will be specified in your employment agreement or in a separate vesting agreement. Vesting refers to the length of time that you must work for the company before you have the right to own the stock outright. Typically, stock vesting is based on the length of your employment with the company, and it may also be based on the achievement of certain performance milestones.If you quit your job before your stock has vested, you will typically forfeit any unvested stock. However, the specific terms of your vesting agreement will govern what happens to your stock in the event that you leave the company. You should review your vesting agreement carefully to understand your rights and obligations with respect to your stock."
Buying shares in a company after you quit,finance,20712,chatgpt_answers,"It is generally possible to buy shares in a company after you quit, as long as the company's stock is publicly traded. You can purchase the shares through a brokerage account or through a direct purchase plan if the company offers one. It is important to do your due diligence and research the company before making any investment decisions. You should consider factors such as the company's financial health, competitive landscape, and potential for future growth. You may also want to consider seeking the advice of a financial advisor or professional before making any investment decisions."
"If the co-signer on my car loan dies, can the family take the car from me like they're threatening to?",finance,19293,chatgpt_answers,"If the co-signer on your car loan dies and the loan is not paid off, the lender may try to collect the remaining balance from the borrower or the co-signer's estate. If the borrower is unable to pay the balance, the lender may try to repossess the car. However, the borrower has certain rights in this situation and the lender must follow certain procedures in order to repossess the car.If the co-signer's family is threatening to take the car from you, it is important to consult with an attorney to understand your rights and options. The specifics of the situation will depend on the terms of the loan agreement, state laws, and any other relevant factors. It is generally not appropriate for the co-signer's family to take the car from you without following the proper legal process."
Why sometimes payable date is BEFORE the ex-dividend date?,finance,21364,human_answers,"Do you realise that the examples you have given are for stock splits not for dividends, that is why the date payable is before the ex-date for the split. The payments for the split occur on 30th June and the first day the stock trades with the new split is on the next trading day, being the ex-date, 1st July."
What happens to people without any retirement savings?,finance,20985,human_answers,"Social security was created with just such people in mind. It's a meager living, but it is an income stream that can be supplemented by Walmart greeter income. It probably isn't so dire that it leads to homelessness, but it might mean not having some of the other comforts that we take for granted."
"Loud and repetitive sneezing, inhaler to recoverI am a 55 year old male and for many years now I have endured very loud and repetative sneezing . It feel very self conscious as it can impact when least expected and with out any apparent cause. It s strength and repetativeness can be so great I need to take an inhaler to recover from an attack or I will struggle to breathe Graeme",medicine,24156,human_answers,"Hello Gra, Welcome here on hcm.As far as your story is concerned I cannot reach to any conclusion.Your case has to be investigated for and respiratory or cardiac problem.Get your blood examined forCBC,Hb%,ESR,S. Cholesterol,Blood sugar,Blood urea.Get X-ray of chest AP and Lateral view.Get ECG done.After all these report here on hcm for further advice. Thanks"
